docno,title,text
11,"аналогичные решения при бессжимаемом ламинарном перемешивании 
проблемы.","подобные решения в сжимаемого ламинарного смешения бесплатно
проблемы .
есть в сверхзвуковой аэродинамике многих ситуациях
практический интерес, в котором потоков разных скоростей и,
в общем, разных давлениях застоя смешиваются одна с другой .
в большинстве этих задач взаимодействие между 
двумя потоками происходит при наличии осевого градиента давления 
.  его влияние на характеристики смешивания может 
существенно повлиять на рабочие характеристики устройств, в которых 
происходят упомянутые выше явления.  теоретическая и 
экспериментальная программа исследований по изучению перемешивания при наличии 
осевых градиентов давления проводится в политехническом 
институте Бруклина ."
12,"некоторые структурные и aerelastic соображений высокой
скорость полета .","некоторые структурные и aerelastic соображений высокой
скорость полета .
  доминирующие факторы в конструкцию высокоскоростного
самолет являются тепловые и аэроупругих в Origin .  предмет исследования 
в основном связан с обсуждением этих факторов и 
их взаимосвязи друг с другом .  приводится краткое изложение 
некоторых аналитических и экспериментальных инструментов, доступных авиационным инженерам для удовлетворения требований, предъявляемых к конструкциям самолетов при высокоскоростных полетах. 
. . . . . 
. . . . . .  обсуждается современное состояние в отношении 
теплопередачи от пограничного слоя в конструкцию, режимов 
разрушения при комбинированной нагрузке, а также тепловых затрат и 
акротермоупругости .  методы устранения и 
смягчения структурных и аэроупругих проблем высокоскоростного полета 
обобщены .  наконец, предложены некоторые направления фундаментальных 
исследований ."
13,законы подобия для нагружения нагретых крыльев .,"законы подобия для нагружения нагретых крыльев .
  будет показано, что дифференциальные уравнения для нагретой 
пластины с большим градиентом температуры и для аналогичной пластины при 
постоянной температуре могут быть сделаны одинаковыми путем надлежащего 
изменения толщины и нагрузки для изотермической пластины .
этот факт приводит к тому, что напряжения в нагретой пластине 
могут быть рассчитаны на основе измеренных деформаций на неотапливаемой пластине с помощью 
ряда соотношений, называемых / законами подобия ./ the 
применение этой аналоговой теории к твердым крыльям в условиях аэродинамического нагрева 
подробно обсуждается .  нагрузка на неотапливаемый аналог 
крыло, однако, сложное и включает в себя новую концепцию 
обратной связи и / силы тела / нагрузки.  проблема напряжения 
нагреваемая коробчатая конструкция крыла может быть решена тем же аналоговым методом 
и кратко обсуждается ."
14,"теория поршневых новый аэродинамический инструмент для
aeroelastician .","теория поршневых новый аэродинамический инструмент для
aeroelastician .
  описаны типичные области применения, которые иллюстрируют 
степень упрощения решений высокоскоростных 
нестационарных аэроупругих задач может быть достигнута за счет использования 
определенных аэродинамических методов, известных под общим названием /поршневой 
теория . / основанная на физической модели, первоначально предложенной 
хейсом и Лайтхиллом, теория поршней для аэродинамических профилей и конечных крыльев 
была систематически разработана Ландалом с использованием 
разложение по степеням отношения толщин и обратное ему значение 
число Маха полета m .  когда вклады порядков и 
пренебрежимо малы, теория предсказывает точечную функцию 
взаимосвязь между локальным давлением на поверхности крыла и 
нормальной составляющей скорости жидкости, создаваемой движением крыла 
.  вычисление обобщенных сил в аэроупругости 
уравнения, такие как определитель флаттера, в этом случае всегда 
сводятся к элементарному интегрированию предполагаемых режимов движения .
  приведены решения по существу замкнутой формы для характеристик изгиба- 
кручения и флаттера рулевой поверхности типичного сечения 
профилей с высокими числами Маха.  они хорошо согласуются с результатами 
более точных теорий везде, где можно справедливо провести сравнения .
более того, они демонстрируют все более важное влияние 
толщины и формы профиля по мере увеличения m, открытие, которое 
было бы практически невозможно при использовании других доступных аэродинамических инструментов 
.  показано, что сложность более практического анализа флаттера - например, на 
трехмерных крыльях и панелях - существенно 
снижается с помощью поршневой теории .  описана итеративная процедура, с помощью 
которой улучшенные собственные значения флаттера могут быть найдены с помощью 
последовательного введения членов более высокого порядка в и .
  рассмотрены другие приложения к нестационарным сверхзвуковым задачам 
, включая реагирование на порывы ветра и быстрые маневры эластичного самолета 
.  также обсуждаются стационарные аэроупругие расчеты, 
но для них теория поршня сводится лишь к небольшой модификации 
формул аккерета .
  высказываются предложения относительно будущих исследований, основанных на 
новом аэродинамическом методе, с особым акцентом на областях, где 
вычислительные затраты могут быть сокращены с минимальной потерей 
точности .  указывается, что существует зона с числом Маха, в которой 
тепловые эффекты заметны, но нелинейными вязкими взаимодействиями 
можно пренебречь, и что в этой зоне теория поршня является логичным 
способом оценки воздушных нагрузок при анализе аэродинамических характеристик. - 
проблемы термоупругого взаимодействия ."
15,на двумерной панели колыхание.,"на двумерных панельный флаттер .
  теория и эксперименты флаттера с пряжкой плиты
обсудили .  показано, что увеличение начального отклонения 
от плоскостности или перепада статического давления на пластине 
повышает критическое значение приведенной скорости ./
  применимость метода Галеркина к линеаризованной 
задаче о трепетании незакрепленной пластины была поставлена под сомнение 
несколькими авторами .  в этой статье условие флаттера было 
сформулировано в виде интегрального уравнения и решено численно 
методом итерации и методом матричной аппроксимации 
, что позволило избежать ограничения предполагаемых режимов .  для 
пластины (с конечной жесткостью при изгибе) результаты подтверждают результаты, полученные 
методом галеркина .
  представлен приблизительный анализ предельной формы и амплитуды 
флаттерного движения для деформированной пластины ."
16,"преобразование сжимаемого турбулентного пограничного слоя 
.","преобразование сжимаемого турбулентного пограничного 
слоя .
  преобразование уравнений сжимаемого турбулентного пограничного 
слоя в их несжимаемый эквивалент 
продемонстрировано аналитически .  преобразование по существу такое же, 
как и для ламинарного слоя, впервые приведенное Стюартсоном, за исключением 
того, что явная зависимость между вязкостью и температурой 
не требуется .  ключевым моментом в анализе является модификация 
функции потока для включения среднего значения изменяющихся 
компонентов и постулат о том, что кажущийся турбулентный сдвиг, 
связанный с элементарной массой, остается неизменным при 
преобразовании .
  преобразованные таким образом значения коэффициентов трения в несжимаемой среде и 
повышения давления, вызывающего разделение, показывают хорошее 
соответствие с экспериментально измеренными и независимыми результатами 
, представленными в отчетах.  показано применение преобразования к 
самосохраняющимся пограничным слоям и к вычислениям 
общего течения в пограничном слое ."
17,замечания по вихревой вязкости в сжимаемых смесительных потоках .,"замечания по вихревой вязкости в сжимаемых смесительных потоках .
в связи с исследованием следов за телами в гиперзвуковом потоке 
, выполненным для подразделения ракетно-космических аппаратов general 
electric company, было желательно оценить вихревую вязкость в 
осесимметричные, поддающиеся сжатию пластинки .  из-за отсутствия применимых 
экспериментальных данных было сочтено необходимым произвести такую оценку путем 
рационального расширения немногих доступных данных для течений в несжимаемой среде до 
случая сжимаемости .  это предполагало применение и расширение 
преобразования, применяемые к турбулентным пограничным слоям в ссылке 
бесконечно малая масса не зависит от преобразования, Магер показал, что 
дифференциальные уравнения в частных производных для сжимаемого турбулентного 
пограничный слой может быть преобразован в несжимаемую форму .  справедливость 
этого предположения и преобразований была установлена для нескольких случаев 
течений в пограничном слое путем сравнения с экспериментом ."
18,поле потока в диффузоре радиального компрессора .,"поле потока в диффузоре радиального компрессора .
в этом примечании рассматривается двумерное поле потока в диффузоре 
в радиальном компрессоре за пределами рабочего колеса .  
предполагается, что диффузор имеет направляющие лопасти, расположенные по кругу 
ряд по радиусу .  рабочее колесо имеет радиус (см. 
рис. 1) . поток в диффузоре начинается от окружности с радиусом 
.  задаются компоненты скорости и в r и 
направления вектора скорости на этой окружности 
вместе с тепловым состоянием газа .  предписанный таким образом поток 
по радиусу, если нет возмущений (т.е. Не должны выполняться никакие 
граничные условия в потоке, отличные от нулевой скорости в точке 
бесконечность), будет развиваться по спирали ."
19,"исследование распределения давления на конических телах в
гиперзвуковых течений .","исследование распределения давления на конических телах в 
гиперзвуковых потоках .
в настоящее время доступен большой объем работ по полям конического течения без осевой симметрии 
при сверхзвуковой скорости .  однако очевидных результатов пока нет. 
гиперзвуковое приближение еще не получено .  в этой заметке 
представлены экспериментальные данные для двух эллиптических конусов при m = 6 и предложен 
гиперзвуковой подход, полученный из физических соображений ."
20,обобщенная ньютоновская теория .,"обобщенная ньютоновская теория .
  автор обобщает теорию Лиса (amr 10 (1957), rev. 2601)
модификации ньютоновской теории для затупленными телами применять с заостренным
а также органов, носа .  результат выражается через 
sin, где - локальный наклон тела 
поверхность, а нижний индекс / max / относится к максимальному локальному значению 
коэффициент наклона и давления .  для тел с тупым носиком 
и обобщенная теория возвращается к тупому носику Лиза 
модификация с учетом нормальных ударных соотношений .  автор показывает, 
сравнивая ньютоновскую и обобщенно-ньютоновскую теории 
с точными решениями, превосходство обобщенно-ньютоновской теории 
.  он также показывает, что это обобщение коррелирует как с двумерными, так и с 
осесимметричными формами .  результаты 
представлены на двух рисунках, которые подтверждают обобщение автора и 
указывают на независимость корреляции от изменений в 
как параметре подобия гиперзвуку k = m(d1), так и соотношении 
удельных теплопроводностей y.
  рецензент считает, что это обобщение должно заинтересовать 
тех, кто занимается разработкой гиперзвукового оборудования, а также 
теоретиков ."
21,о теплопередаче в скользящем потоке .,"о теплопередаче в скользящем потоке.
ряд авторов рассмотрели влияние скольжения на теплопередачу. 
поверхностное трение в ламинарном пограничном слое над плоской пластиной .
ссылка 1 рассматривает это как возмущение на обычном ламинарном режиме. 
анализ пограничного слоя во время некоторых других исследований.тире, например, ссылка. 
импульсное движение бесконечной пластины ."
22,при проскальзывании тепло передается на плоскую пластину.,"при проскальзывании тепло передается на плоскую пластину.
  предполагая, что уравнение энергии непрерывного течения в пограничном 
слое остается справедливым и в области скольжения, и принимая во внимание 
скачок температуры в движущемся разреженном газе и влияние 
большой длины свободного пробега при соответствующих граничных условиях, a 
найдено решение для температурного градиента в области скольжения .
затем из выражения Маслена (j. aero. sci. 25, 6, 400-401, июнь) 
проскальзывание жидкости на плоскую пластину и поведение подтверждают результаты для 
малых значений числа Кнудсена ."
23,"характеристики поверхностного трения и теплопередачи 
ламинарного пограничного слоя на цилиндре в осевом несжимаемом потоке 
.","характеристики поверхностного трения и теплопередачи 
ламинарного пограничного слоя на цилиндре в осевом несжимаемом потоке 
.
  приведено решение для случая ламинарного пограничного слоя 
несжимаемой жидкости с постоянными свойствами снаружи 
цилиндра с потоком, параллельным оси цилиндра .  этот случай 
отличается от решения Блазиуса для течения вдоль плоской пластины тем, что 
учитывает влияние кривизны в плоскости, поперечной 
направлению потока .  локальное поверхностное трение и теплопередача 
оцениваются коэффициенты для числа Прандтля 0,715 и 
сравниваются с аналогичными величинами для обтекания плоской пластины, и 
показано, что влияние кривизны является значительным в некоторых практических случаях 
.  оцениваются коэффициенты восстановления, и эта величина 
оказывается нечувствительной к эффекту искривления границы."
24,"теория переноса тепла в точке застоя в диссоциированном воздухе 
.","теория точки торможения передачи тепла в диссоциированном
воздуха .
  в уравнения пограничного слоя разрабатываются в целом для
при очень высокой скорости полета, где внешний поток в
диссоциированном состоянии .  в частности, учитываются эффекты диффузии и рекомбинации атомов 
в пограничном слое .  показано 
что в точке застоя уравнения могут быть точно сведены 
к набору нелинейных обыкновенных дифференциальных уравнений, даже когда 
химические реакции протекают настолько медленно, что пограничный слой 
не находится в термохимическом равновесии .
  представлены два метода численного решения этих уравнений точки застоя 
, одно для случая равновесия и 
другое для неравновесного случая .  численные результаты 
коррелированы с точки зрения параметров, входящих в числовой анализ 
формулировка, чтобы не зависеть критически от сделанных физических предположений 
.
  для неравновесного пограничного слоя рассматриваются как каталитические (для 
рекомбинации атомов), так и некаталитические поверхности стенок 
.  представлено решение, которое показывает переход 
от / замороженного / пограничного слоя (очень медленные скорости рекомбинации 
) к равновесному пограничному слою (быстрые скорости рекомбинации) .
параметр скорости рекомбинации введен для интерпретации 
неравновесных результатов, и показано, что масштабный коэффициент 
участвует в определении равновесного состояния пограничного слоя на 
телах разных размеров .
  сделан вывод, что теплопередача через пограничный слой с равновесной точкой 
застоя может быть точно рассчитана с помощью 
простой корреляционной формулы и что на теплопередачу 
практически не влияет неравновесное состояние пограничного слоя. 
пограничный слой при условии, что стенка является каталитической, а число Льюиса 
близко к единице ."
